coc_code,state_code,coc_name,coc_total_population_zillow_2017,pit_count_from_2017_zillow_2017,estimated_homeless_rate_percent_zillow_2017,zri_as_percent_of_median_income_zillow_2017,percent_of_coc_living_in_extreme_poverty_zillow_2017,coc_category,pit_overall_homeless_2017,pit_sheltered_es_homeless_2017,pit_sheltered_th_homeless_2017,pit_sheltered_sh_homeless_2017,pit_sheltered_total_homeless_2017,pit_unsheltered_homeless_2017,pit_homeless_individuals_2017,pit_sheltered_es_homeless_individuals_2017,pit_sheltered_th_homeless_individuals_2017,pit_sheltered_sh_homeless_individuals_2017,pit_sheltered_total_homeless_individuals_2017,pit_unsheltered_homeless_individuals_2017,pit_homeless_people_in_families_2017,pit_sheltered_es_homeless_people_in_families_2017,pit_sheltered_th_homeless_people_in_families_2017,pit_sheltered_total_homeless_people_in_families_2017,pit_unsheltered_homeless_people_in_families_2017,pit_homeless_family_households_2017,pit_sheltered_es_homeless_family_households_2017,pit_sheltered_th_homeless_family_households_2017,pit_sheltered_total_homeless_family_households_2017,pit_unsheltered_homeless_family_households_2017,pit_chronically_homeless_2017,pit_sheltered_es_chronically_homeless_2017,pit_sheltered_sh_chronically_homeless_2017,pit_sheltered_total_chronically_homeless_2017,pit_unsheltered_chronically_homeless_2017,pit_chronically_homeless_individuals_2017,pit_sheltered_es_chronically_homeless_individuals_2017,pit_sheltered_sh_chronically_homeless_individuals_2017,pit_sheltered_total_chronically_homeless_individuals_2017,pit_unsheltered_chronically_homeless_individuals_2017,pit_chronically_homeless_people_in_families_2017,pit_sheltered_es_chronically_homeless_people_in_families_2017,pit_sheltered_total_chronically_homeless_people_in_families_2017,pit_unsheltered_chronically_homeless_people_in_families_2017,pit_homeless_veterans_2017,pit_sheltered_es_homeless_veterans_2017,pit_sheltered_th_homeless_veterans_2017,pit_sheltered_sh_homeless_veterans_2017,pit_sheltered_total_homeless_veterans_2017,pit_unsheltered_homeless_veterans_2017,pit_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_es_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_th_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_sh_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_total_homeless_unaccompanied_youth_under_25_2017,pit_unsheltered_homeless_unaccompanied_youth_under_25_2017,pit_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_es_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_th_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_sh_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_total_homeless_unaccompanied_youth_under_18_2017,pit_unsheltered_homeless_unaccompanied_youth_under_18_2017,pit_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_es_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_th_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_sh_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_total_homeless_unaccompanied_youth_age_18_24_2017,pit_unsheltered_homeless_unaccompanied_youth_age_18_24_2017,pit_homeless_parenting_youth_under_25_2017,pit_sheltered_es_homeless_parenting_youth_under_25_2017,pit_sheltered_th_homeless_parenting_youth_under_25_2017,pit_sheltered_total_homeless_parenting_youth_under_25_2017,pit_unsheltered_homeless_parenting_youth_under_25_2017,pit_homeless_parenting_youth_under_18_2017,pit_sheltered_es_homeless_parenting_youth_under_18_2017,pit_sheltered_th_homeless_parenting_youth_under_18_2017,pit_sheltered_total_homeless_parenting_youth_under_18_2017,pit_unsheltered_homeless_parenting_youth_under_18_2017,pit_homeless_parenting_youth_age_18_24_2017,pit_sheltered_es_homeless_parenting_youth_age_18_24_2017,pit_sheltered_th_homeless_parenting_youth_age_18_24_2017,pit_sheltered_total_homeless_parenting_youth_age_18_24_2017,pit_unsheltered_homeless_parenting_youth_age_18_24_2017,pit_homeless_children_of_parenting_youth_2017,pit_sheltered_es_homeless_children_of_parenting_youth_2017,pit_sheltered_th_homeless_children_of_parenting_youth_2017,pit_sheltered_total_homeless_children_of_parenting_youth_2017,pit_unsheltered_homeless_children_of_parenting_youth_2017,cluster_number_zillow_2017,cluster_location,cluster_description
la-500,la,lafayette/acadiana coc,658150,357,0.07,31.56242875,8.591750182,rural cocs,357,149,112,0,261,96,226,93,54,0,147,79,131,56,58,114,17,37,16,17,33,4,49,26,0,26,23,43,20,0,20,23,6,6,6,0,36,12,18,0,30,6,4,1,1,0,2,2,0,0,0,0,0,0,4,1,1,0,2,2,3,1,2,3,0,0,0,0,0,0,3,1,2,3,0,6,2,4,6,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
la-502,la,shreveport/bossier/northwest coc,483539,349,0.08,29.3188505,9.955041617,other urban cocs,349,228,55,19,302,47,246,125,55,19,199,47,103,103,0,103,0,33,33,0,33,0,31,6,2,8,23,31,6,2,8,23,0,0,0,0,83,24,39,19,82,1,14,3,11,0,14,0,3,0,3,0,3,0,11,3,8,0,11,0,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,3,3,0,3,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
la-503,la,new orleans/jefferson parish coc,824422,1301,0.24,35.97011585,9.403421372,major cities,1301,556,202,18,776,525,1158,436,187,18,641,517,143,120,15,135,8,41,31,7,38,3,404,106,18,124,280,404,106,18,124,280,0,0,0,0,113,16,80,0,96,17,118,85,1,2,88,30,5,5,0,0,5,0,113,80,1,2,83,30,12,11,1,12,0,0,0,0,0,0,12,11,1,12,0,19,18,1,19,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
la-505,la,monroe/northeast louisiana coc,355418,185,0.06,35.25618045,11.92634321,rural cocs,185,46,114,0,160,25,76,34,17,0,51,25,109,12,97,109,0,36,5,31,36,0,13,5,0,5,8,13,5,0,5,8,0,0,0,0,5,4,0,0,4,1,16,3,10,0,13,3,0,0,0,0,0,0,16,3,10,0,13,3,5,1,4,5,0,0,0,0,0,0,5,1,4,5,0,7,1,6,7,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
la-506,la,slidell/southeast louisiana coc,573011,248,0.06,28.76408704,6.460060505,suburban cocs,248,48,111,0,159,89,191,25,111,0,136,55,57,23,0,23,34,17,6,0,6,11,26,4,0,4,22,26,4,0,4,22,0,0,0,0,48,1,39,0,40,8,13,0,10,0,10,3,0,0,0,0,0,0,13,0,10,0,10,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,7,0,0,0,7,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
la-507,la,alexandria/central louisiana coc,307404,159,0.06,33.31088453,7.867204071,rural cocs,159,45,53,0,98,61,127,35,31,0,66,61,32,10,22,32,0,11,3,8,11,0,20,3,0,3,17,20,3,0,3,17,0,0,0,0,16,8,3,0,11,5,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
la-508,la,houma-terrebonne/thibodaux coc,352151,116,0.04,27.04724539,7.618677072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Southeast Arkansas, Houma-Terrebonne/Thibodaux (Louisiana), Central Tennessee","low homeless rates, high poverty rates"
la-509,la,louisiana balance of state (bos),1111992,590,0.07,30.87073608,8.431976173,suburban cocs,706,254,320,0,574,132,535,143,264,0,407,128,171,111,56,167,4,56,34,20,54,2,75,13,0,13,62,72,10,0,10,62,3,3,3,0,82,5,61,0,66,16,69,33,26,0,59,10,38,31,6,0,37,1,31,2,20,0,22,9,6,4,2,6,0,0,0,0,0,0,6,4,2,6,0,13,10,3,13,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
ma-500,ma,boston coc,666277,6135,0.99,48.83588153,10.97714805,major cities,6135,5337,561,51,5949,186,2492,1828,427,51,2306,186,3643,3509,134,3643,0,1079,1027,52,1079,0,769,719,12,731,38,526,476,12,488,38,243,243,243,0,233,63,143,19,225,8,190,158,25,0,183,7,51,44,7,0,51,0,139,114,18,0,132,7,173,165,8,173,0,0,0,0,0,0,173,165,8,173,0,238,227,11,238,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ma-502,ma,lynn coc,92522,582,0.67,42.62024641,8.790786181,suburban cocs,582,489,42,0,531,51,151,70,36,0,106,45,431,419,6,425,6,124,120,3,123,1,57,6,0,6,51,51,6,0,6,45,6,0,0,6,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,3,0,3,3,0,0,0,0,0,0,3,0,3,3,0,3,0,3,3,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ma-503,ma,cape cod/islands coc,242698,324,0.17,37.06170716,3.177734097,suburban cocs,324,243,42,0,285,39,145,64,42,0,106,39,179,179,0,179,0,69,69,0,69,0,47,16,0,16,31,45,14,0,14,31,2,2,2,0,20,6,8,0,14,6,12,4,1,0,5,7,1,0,1,0,1,0,11,4,0,0,4,7,16,16,0,16,0,0,0,0,0,0,16,16,0,16,0,22,22,0,22,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ma-504,ma,springfield coc,468103,2311,0.52,34.57016321,7.848518191,suburban cocs,2311,2135,116,7,2258,53,370,269,41,7,317,53,1941,1866,75,1941,0,513,488,25,513,0,132,109,6,115,17,60,37,6,43,17,72,72,72,0,14,5,7,0,12,2,35,17,8,0,25,10,0,0,0,0,0,0,35,17,8,0,25,10,106,99,7,106,0,0,0,0,0,0,106,99,7,106,0,116,109,7,116,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ma-505,ma,new bedford coc,95067,352,0.41,42.94119277,10.29624057,suburban cocs,352,213,90,0,303,49,174,49,76,0,125,49,178,164,14,178,0,52,46,6,52,0,30,10,0,10,20,28,8,0,8,20,2,2,2,0,46,5,38,0,43,3,10,8,0,0,8,2,0,0,0,0,0,0,10,8,0,0,8,2,7,7,0,7,0,0,0,0,0,0,7,7,0,7,0,8,8,0,8,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ma-506,ma,worcester city & county coc,816243,1507,0.2,26.46242895,4.890686479,suburban cocs,1507,894,464,13,1371,136,584,176,265,13,454,130,923,718,199,917,6,282,211,68,279,3,89,43,11,54,35,60,14,11,25,35,29,29,29,0,161,11,143,0,154,7,59,12,37,0,49,10,3,0,0,0,0,3,56,12,37,0,49,7,63,35,28,63,0,0,0,0,0,0,63,35,28,63,0,83,44,39,83,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ma-507,ma,pittsfield/berkshire county coc,359837,557,0.18,35.77372768,6.070949888,suburban cocs,557,299,203,0,502,55,420,166,199,0,365,55,137,133,4,137,0,41,39,2,41,0,79,50,0,50,29,47,18,0,18,29,32,32,32,0,213,27,182,0,209,4,28,17,5,0,22,6,0,0,0,0,0,0,28,17,5,0,22,6,9,9,0,9,0,0,0,0,0,0,9,9,0,9,0,12,12,0,12,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ma-508,ma,lowell coc,110393,658,0.65,54.65200403,12.03819596,suburban cocs,658,582,64,0,646,12,182,136,34,0,170,12,476,446,30,476,0,143,132,11,143,0,6,6,0,6,0,6,6,0,6,0,0,0,0,0,32,0,32,0,32,0,14,14,0,0,14,0,0,0,0,0,0,0,14,14,0,0,14,0,21,20,1,21,0,0,0,0,0,0,21,20,1,21,0,21,20,1,21,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ma-509,ma,cambridge coc,109598,530,0.53,37.68281509,7.762701923,other urban cocs,530,307,156,0,463,67,395,252,76,0,328,67,135,55,80,135,0,52,22,30,52,0,181,155,0,155,26,181,155,0,155,26,0,0,0,0,13,9,0,0,9,4,30,27,1,0,28,2,0,0,0,0,0,0,30,27,1,0,28,2,11,6,5,11,0,0,0,0,0,0,11,6,5,11,0,14,7,7,14,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ma-510,ma,gloucester/haverhill/salem/essex county coc,602483,747,0.14,30.53585254,3.621262697,suburban cocs,747,645,49,6,700,47,228,147,28,6,181,47,519,498,21,519,0,169,160,9,169,0,195,164,6,170,25,66,35,6,41,25,129,129,129,0,30,7,19,0,26,4,20,17,1,1,19,1,0,0,0,0,0,0,20,17,1,1,19,1,25,25,0,25,0,0,0,0,0,0,25,25,0,25,0,35,35,0,35,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ma-511,ma,quincy/brockton/weymouth/plymouth city and county coc,659052,1109,0.18,33.98232376,3.856389366,suburban cocs,1109,1047,12,0,1059,50,359,297,12,0,309,50,750,750,0,750,0,254,254,0,254,0,143,109,0,109,34,85,51,0,51,34,58,58,58,0,45,28,12,0,40,5,15,14,0,0,14,1,0,0,0,0,0,0,15,14,0,0,14,1,43,43,0,43,0,0,0,0,0,0,43,43,0,43,0,48,48,0,48,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ma-515,ma,fall river coc,89077,297,0.36,49.7428458,8.172558621,suburban cocs,297,256,22,0,278,19,62,43,0,0,43,19,235,213,22,235,0,73,67,6,73,0,7,6,0,6,1,7,6,0,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,5,5,0,5,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ma-516,ma,massachusetts balance of state,1076446,2080,0.21,33.10199623,4.249482192,suburban cocs,2080,1609,302,0,1911,169,516,277,70,0,347,169,1564,1332,232,1564,0,526,442,84,526,0,144,107,0,107,37,53,16,0,16,37,91,91,91,0,19,14,4,0,18,1,33,17,7,0,24,9,2,2,0,0,2,0,31,15,7,0,22,9,82,63,19,82,0,0,0,0,0,0,82,63,19,82,0,97,73,24,97,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ma-517,ma,somerville coc,125107,142,0.12,34.35984654,4.97993298,suburban cocs,142,75,45,0,120,22,108,47,39,0,86,22,34,28,6,34,0,13,10,3,13,0,13,13,0,13,0,6,6,0,6,0,7,7,7,0,23,1,22,0,23,0,11,2,9,0,11,0,0,0,0,0,0,0,11,2,9,0,11,0,5,2,3,5,0,0,0,0,0,0,5,2,3,5,0,6,3,3,6,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ma-519,ma,attleboro/taunton/bristol county coc,372829,234,0.07,29.31886296,3.364903041,suburban cocs,234,170,28,0,198,36,81,29,16,0,45,36,153,141,12,153,0,40,36,4,40,0,22,7,0,7,15,17,2,0,2,15,5,5,5,0,3,0,3,0,3,0,9,1,2,0,3,6,0,0,0,0,0,0,9,1,2,0,3,6,5,5,0,5,0,0,0,0,0,0,5,5,0,5,0,7,7,0,7,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
md-500,md,cumberland/allegany county coc,72571,118,0.18,32.71873047,7.137919338,suburban cocs,118,55,33,0,88,30,76,43,3,0,46,30,42,12,30,42,0,16,6,10,16,0,19,14,0,14,5,12,7,0,7,5,7,7,7,0,1,0,0,0,0,1,4,1,0,0,1,3,0,0,0,0,0,0,4,1,0,0,1,3,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
md-501,md,baltimore city coc,619546,2669,0.52,33.75526442,10.95961889,major cities,2669,1124,984,15,2123,546,2178,841,776,15,1632,546,491,283,208,491,0,158,86,72,158,0,699,402,7,409,290,672,375,7,382,290,27,27,27,0,276,86,165,1,252,24,81,34,18,0,52,29,8,5,1,0,6,2,73,29,17,0,46,27,34,13,21,34,0,0,0,0,0,0,34,13,21,34,0,54,20,34,54,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
md-502,md,harford county coc,250586,189,0.09,24.60941719,3.762902843,suburban cocs,189,100,52,0,152,37,102,59,6,0,65,37,87,41,46,87,0,28,13,15,28,0,20,10,0,10,10,18,8,0,8,10,2,2,2,0,8,4,3,0,7,1,8,4,0,0,4,4,0,0,0,0,0,0,8,4,0,0,4,4,5,2,3,5,0,0,0,0,0,0,5,2,3,5,0,12,6,6,12,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
md-503,md,annapolis/anne arundel county coc,564194,376,0.08,25.71134018,3.166818351,suburban cocs,376,239,24,0,263,113,261,143,5,0,148,113,115,96,19,115,0,36,29,7,36,0,91,38,0,38,53,86,33,0,33,53,5,5,5,0,21,10,5,0,15,6,14,8,0,0,8,6,0,0,0,0,0,0,14,8,0,0,8,6,8,8,0,8,0,0,0,0,0,0,8,8,0,8,0,14,14,0,14,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
md-504,md,howard county coc,312779,168,0.07,24.28527486,2.45291037,suburban cocs,168,93,22,0,115,53,93,45,4,0,49,44,75,48,18,66,9,25,17,5,22,3,23,9,0,9,14,23,9,0,9,14,0,0,0,0,6,2,0,0,2,4,3,3,0,0,3,0,0,0,0,0,0,0,3,3,0,0,3,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
md-505,md,baltimore county coc,828373,609,0.09,27.59476843,4.506375383,suburban cocs,609,348,41,0,389,220,397,180,2,0,182,215,212,168,39,207,5,68,55,11,66,2,144,26,0,26,118,127,12,0,12,115,17,14,14,3,32,20,0,0,20,12,24,14,0,0,14,10,0,0,0,0,0,0,24,14,0,0,14,10,13,12,1,13,0,0,0,0,0,0,13,12,1,13,0,16,15,1,16,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
md-506,md,carroll county coc,167626,147,0.1,24.4695304,2.558517004,suburban cocs,147,86,14,25,125,22,106,59,0,25,84,22,41,27,14,41,0,10,6,4,10,0,20,14,3,17,3,20,14,3,17,3,0,0,0,0,8,4,2,0,6,2,8,5,0,1,6,2,0,0,0,0,0,0,8,5,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
md-507,md,cecil county coc,102390,193,0.21,24.87196319,4.662096068,suburban cocs,193,36,76,0,112,81,139,22,38,0,60,79,54,14,38,52,2,18,5,12,17,1,37,8,0,8,29,35,8,0,8,27,2,0,0,2,39,1,35,0,36,3,6,2,1,0,3,3,0,0,0,0,0,0,6,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
md-508,md,"charles, calvert, st.mary's counties coc",358636,419,0.18,23.56161736,3.564107948,suburban cocs,419,146,41,0,187,232,238,112,18,0,130,108,181,34,23,57,124,49,10,7,17,32,79,39,0,39,40,75,35,0,35,40,4,4,4,0,22,3,2,0,5,17,26,9,0,0,9,17,2,0,0,0,0,2,24,9,0,0,9,15,7,2,0,2,5,0,0,0,0,0,7,2,0,2,5,10,2,0,2,8,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
md-509,md,frederick city & county coc,245557,309,0.14,23.52510371,3.159022726,suburban cocs,309,105,101,0,206,103,217,78,36,0,114,103,92,27,65,92,0,32,8,24,32,0,74,32,0,32,42,72,30,0,30,42,2,2,2,0,10,3,3,0,6,4,20,8,4,0,12,8,0,0,0,0,0,0,20,8,4,0,12,8,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,5,3,2,5,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
md-510,md,garrett county coc,29541,10,0.06,31.39200386,4.590172191,rural cocs,10,4,6,0,10,0,4,2,2,0,4,0,6,2,4,6,0,3,1,2,3,0,3,3,0,3,0,1,1,0,1,0,2,2,2,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,2,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
md-511,md,mid-shore regional coc,171089,153,0.1,27.79316002,6.130377104,rural cocs,153,103,33,0,136,17,81,61,9,0,70,11,72,42,24,66,6,20,10,8,18,2,24,15,0,15,9,20,13,0,13,7,4,2,2,2,6,4,1,0,5,1,8,7,0,0,7,1,0,0,0,0,0,0,8,7,0,0,7,1,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,4,3,1,4,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
md-512,md,hagerstown/washington county coc,149872,208,0.16,26.74209942,5.886216527,suburban cocs,208,134,53,0,187,21,164,92,53,0,145,19,44,42,0,42,2,15,14,0,14,1,48,38,0,38,10,48,38,0,38,10,0,0,0,0,40,6,29,0,35,5,7,5,1,0,6,1,0,0,0,0,0,0,7,5,1,0,6,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
md-513,md,wicomico/somerset/worcester county coc,179053,260,0.17,28.23893753,7.613667009,rural cocs,260,181,37,0,218,42,212,153,17,0,170,42,48,28,20,48,0,14,7,7,14,0,41,31,0,31,10,41,31,0,31,10,0,0,0,0,32,22,2,0,24,8,9,6,2,0,8,1,0,0,0,0,0,0,9,6,2,0,8,1,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,4,3,1,4,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
md-600,md,prince george`s county/maryland coc,902570,525,0.07,28.14365826,4.335083881,suburban cocs,525,240,197,0,437,88,193,95,25,0,120,73,332,145,172,317,15,103,45,55,100,3,35,15,0,15,20,28,13,0,13,15,7,2,2,5,21,16,0,0,16,5,20,8,12,0,20,0,1,1,0,0,1,0,19,7,12,0,19,0,21,6,15,21,0,0,0,0,0,0,21,6,15,21,0,23,8,15,23,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
md-601,md,montgomery county coc,1034883,894,0.1,25.11016776,3.285442167,suburban cocs,894,563,163,37,763,131,616,352,101,37,490,126,278,211,62,273,5,86,67,17,84,2,163,79,33,112,51,158,76,33,109,49,5,3,3,2,14,4,2,5,11,3,32,12,11,1,24,8,0,0,0,0,0,0,32,12,11,1,24,8,20,16,4,20,0,0,0,0,0,0,20,16,4,20,0,29,21,8,29,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
me-500,me,maine balance of state coc,1330746,2280,0.18,31.23229304,5.014276627,rural cocs,2280,993,1092,15,2100,180,1352,681,548,15,1244,108,928,312,544,856,72,307,109,177,286,21,201,189,12,201,0,189,177,12,189,0,12,12,12,0,131,53,66,1,120,11,178,87,56,0,143,35,28,5,11,0,16,12,150,82,45,0,127,23,26,10,11,21,5,2,0,0,0,2,24,10,11,21,3,33,13,16,29,4,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
mi-500,mi,michigan balance of state coc,2358534,1465,0.08,24.97590778,7.035276498,rural cocs,1465,962,264,0,1226,239,784,511,81,0,592,192,681,451,183,634,47,217,144,56,200,17,55,27,0,27,28,50,25,0,25,25,5,2,2,3,62,26,21,0,47,15,135,65,41,0,106,29,12,3,6,0,9,3,123,62,35,0,97,26,20,12,5,17,3,0,0,0,0,0,20,12,5,17,3,27,19,5,24,3,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
mi-501,mi,detroit coc,676812,2078,0.34,31.716997,18.57121548,major cities,2078,1169,668,21,1858,220,1543,822,485,21,1328,215,535,347,183,530,5,179,114,64,178,1,249,136,8,144,105,230,117,8,125,105,19,19,19,0,337,38,269,13,320,17,134,82,48,0,130,4,8,3,5,0,8,0,126,79,43,0,122,4,61,29,32,61,0,2,2,0,2,0,59,27,32,59,0,95,53,42,95,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
mi-502,mi,dearborn/dearborn heights/westland/wayne county coc,1079405,226,0.02,21.2235946,6.544585424,suburban cocs,226,139,66,7,212,14,78,35,22,7,64,14,148,104,44,148,0,44,29,15,44,0,8,5,3,8,0,8,5,3,8,0,0,0,0,0,13,2,10,0,12,1,6,4,1,1,6,0,3,3,0,0,3,0,3,1,1,1,3,0,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,3,2,1,3,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
mi-503,mi,st. clair shores/warren/macomb county coc,864717,354,0.06,24.70253923,4.568640439,suburban cocs,354,218,60,12,290,64,276,157,43,12,212,64,78,61,17,78,0,28,22,6,28,0,31,23,5,28,3,31,23,5,28,3,0,0,0,0,56,6,38,12,56,0,15,9,3,0,12,3,3,2,1,0,3,0,12,7,2,0,9,3,5,3,2,5,0,0,0,0,0,0,5,3,2,5,0,5,3,2,5,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
mi-504,mi,pontiac/royal oak/oakland county coc,1240927,412,0.04,26.07611553,3.863163188,suburban cocs,412,258,107,0,365,47,281,215,19,0,234,47,131,43,88,131,0,42,14,28,42,0,45,37,0,37,8,45,37,0,37,8,0,0,0,0,18,17,0,0,17,1,38,13,19,0,32,6,7,5,2,0,7,0,31,8,17,0,25,6,13,4,9,13,0,0,0,0,0,0,13,4,9,13,0,18,7,11,18,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
mi-505,mi,flint/genesee county coc,410306,420,0.12,20.09757643,9.662241512,suburban cocs,420,233,62,0,295,125,255,120,26,0,146,109,165,113,36,149,16,47,33,10,43,4,42,23,0,23,19,36,17,0,17,19,6,6,6,0,27,12,9,0,21,6,27,6,13,0,19,8,2,0,1,0,1,1,25,6,12,0,18,7,16,12,4,16,0,1,1,0,1,0,15,11,4,15,0,25,18,7,25,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
mi-506,mi,grand rapids/wyoming/kent county coc,636114,912,0.15,27.66281564,6.362956437,other urban cocs,912,654,197,0,851,61,614,481,78,0,559,55,298,173,119,292,6,81,43,36,79,2,108,92,0,92,16,108,92,0,92,16,0,0,0,0,92,50,33,0,83,9,62,48,7,0,55,7,7,7,0,0,7,0,55,41,7,0,48,7,9,6,3,9,0,0,0,0,0,0,9,6,3,9,0,14,10,4,14,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
mi-507,mi,portage/kalamazoo city & county coc,260458,479,0.2,27.79878333,7.687246194,other urban cocs,479,396,55,0,451,28,244,202,14,0,216,28,235,194,41,235,0,75,61,14,75,0,26,26,0,26,0,11,11,0,11,0,15,15,15,0,18,18,0,0,18,0,33,18,12,0,30,3,4,2,2,0,4,0,29,16,10,0,26,3,15,5,10,15,0,1,0,1,1,0,14,5,9,14,0,25,9,16,25,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
